,rank,jogador,equipe,jo,min,ef,pts,rt,as,br,to,er
0,80,Johnny #23,Cerrado Basquete,15,13.27,2.73,3.6,1.6,0.47,0.33,0.0,0.87
1,69,Luis #9,Cerrado Basquete,16,19.94,3.94,7.56,1.38,1.25,0.44,0.0,2.06
2,33,G. Servelin #3,Londrina,18,26.98,9.39,8.0,3.61,1.5,1.5,0.33,1.28
3,21,Ricardo #33,Londrina,18,29.38,11.83,10.83,4.72,1.28,0.67,0.11,0.44
4,28,Luizinho #11,UNIFACISA,25,22.23,10.4,7.44,4.24,1.68,0.96,0.28,1.08
5,148,Lucas #4,Minas,29,13.09,2.4,2.52,1.3,1.2,0.4,0.0,1.3
6,168,Mendes #30,Bauru,9,7.54,2.3,1.78,1.89,0.1,0.0,0.0,0.4
7,4,Rodrigo #5,America,11,25.2,10.20,12.1,4.72,1.27,0.0,0.18,1.3
8,120,Pablo #13,Libertad,8,21.0,5.1,8.2,3.1,0.9,0.0,0.0,0.0
9,30,Dida #32,Atlético Puerto Varas,8,32.12,9.0,9.0,6.25,1.62,1.0,0.25,1.87
10,27,Victor #1,La Verne Leopards,23,27.6,11.98,13.5,5.1,1.0,1.0,0.2,2.8
